make,model,price,fuel,year,kms,power,doors,shift,is_professional,province,link
CITROEN,C5,24700,Gasolina,2022,0,130,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-citroen-c5+aircross-puretech-s_s-feel-130-en-asturias.htm?id=6878934
CITROEN,C4,27900,Diésel,2022,0,130,5,Automático,True,Unkown,https://www.coches.com/km0/seminuevo-citroen-c4-15-bluehdi-s_s-shine-eat8-130-en-asturias.htm?id=6866806
CITROEN,C4,16800,Gasolina,2018,1432,110,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-s_s-shine-110-en-asturias.htm?id=6913137
CITROEN,C3,13300,Diésel,2018,28761,75,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c3-16bluehdi-s_s-feel-75-en-asturias.htm?id=6913135
CITROEN,C3,13100,Diésel,2018,21000,75,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c3-16bluehdi-s_s-feel-75-en-asturias.htm?id=6913133
CITROEN,C5,24800,Diésel,2019,33532,176,5,Automático,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-bluehdi-s_s-shine-eat8-180-en-asturias.htm?id=6913129
CITROEN,C5,24200,Diésel,2020,47973,130,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-bluehdi-s_s-feel-130-en-asturias.htm?id=6913131
CITROEN,C3,19800,Diésel,2022,890000,110,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-citroen-c3+aircross-bluehdi-s_s-feel-110-en-asturias.htm?id=6913147
FIAT,Punto,7600,Gasolina,2015,89975,69,3,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-fiat-punto-12-s_s-easy-51kw-e6-en-asturias.htm?id=6913145
CITROEN,C3,13300,Diésel,2019,17509,99,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c3-15bluehdi-s_s-feel-100-en-asturias.htm?id=6913141
DS,Ds4,49600,Híbrido,2021,8345,225,5,Automático,True,Unkown,https://www.coches.com/km0/seminuevo-ds-ds4-e-tense-rivoli-aut-225-en-asturias.htm?id=6913139
CITROEN,C5,32800,Híbrido,2020,10122,225,5,Automático,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-hybrid-shine-eat8-en-asturias.htm?id=6913153
CITROEN,C4,27700,Eléctrico,2021,4890,136,5,Automático,True,Unkown,https://www.coches.com/km0/seminuevo-citroen-c4-e---feel-100kw-en-asturias.htm?id=6913155
CITROEN,C4,17800,Diésel,2015,70429,115,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-grand-picasso-16e-hdi-intensive-115-en-asturias.htm?id=6913159
CITROEN,C3,18800,Gasolina,2021,100000,110,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-citroen-c3+aircross-puretech-s_s-feel-pack-110-en-asturias.htm?id=6913157
LAND ROVER,Range,21700,Diésel,2013,72200,190,3,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+evoque-22l-sd4-dynamic-4x4-190-en-asturias.htm?id=6913149
CITROEN,C1,12200,Gasolina,2022,0,72,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-citroen-c1-10-vti-city-edition-72-en-asturias.htm?id=6917587
MERCEDES-BENZ,Clase B,11400,Diésel,2014,195790,109,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+b-b-180cdi-be-en-asturias.htm?id=6916453
OPEL,Astra,10300,Diésel,2013,115970,110,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-st-17cdti-selective-en-asturias.htm?id=6913161
FORD,Fiesta,14456,Gasolina,2021,0,75,3,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-fiesta-11-ti-vct-trend-en-salamanca.htm?id=6484409
FORD,Ecosport,19624,Gasolina,2021,0,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-ecosport-10-ecoboost-active-125-en-salamanca.htm?id=6628536
FORD,Ecosport,19510,Gasolina,2019,0,125,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-ecosport-10-ecoboost-trend-125-en-salamanca.htm?id=6512221
FORD,Ecosport,20152,Gasolina,2021,0,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-ecosport-10-ecoboost-active-125-en-salamanca.htm?id=6628538
FORD,Mustang,50641,Gasolina,2021,0,455,2,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-mustang-fastback-50-ti-vct-gt-en-salamanca.htm?id=6590783
FORD,Focus,21500,Gasolina,2019,37872,124,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-10-ecoboost-active-125-en-salamanca.htm?id=6533909
FORD,Fiesta,17800,Gasolina,2021,0,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-fiesta-10-ecoboost-mhev-trend-125-en-salamanca.htm?id=6846261
FORD,Puma,20504,Gasolina,2021,15230,125,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-puma-10-ecoboost-mhev-st-line-125-en-salamanca.htm?id=6813037
FORD,Focus,19850,Gasolina,2021,0,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-focus-10-ecoboost-mhev-trend+-125-en-salamanca.htm?id=6766019
FORD,Focus,20800,Gasolina,2019,20303,124,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-10-ecoboost-active-125-en-salamanca.htm?id=6738851
FORD,Ecosport,20196,Gasolina,2021,0,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-ecosport-10-ecoboost-active-125-en-salamanca.htm?id=6637554
FORD,Ecosport,20100,Gasolina,2021,1250,125,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-ecosport-10-ecoboost-active-125-en-salamanca.htm?id=6846263
FORD,Kuga,27200,Diésel,2021,31230,150,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-20-ecoblue-mehv-st-line-x-fwd-150-en-salamanca.htm?id=6916319
FORD,Kuga,27242,Gasolina,2020,0,150,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-kuga-15-ecoboost-st-line-x-fwd-150-en-salamanca.htm?id=6910198
FORD,Focus,20500,Gasolina,2021,16040,125,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-10-ecoboost-mhev-active-125-en-salamanca.htm?id=6852929
FORD,Kuga,18600,Gasolina,2019,22001,120,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-15-ecoboost-titanium-fwd-120-en-salamanca.htm?id=6905094
BMW,Serie 1,17800,Diésel,2017,65665,116,5,Manual,True,Málaga,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+1-116d-en-malaga.htm?id=6909800
FORD,Focus,19100,Gasolina,2019,6503,124,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-10-ecoboost-active-125-en-salamanca.htm?id=6917595
SEAT,León,21800,Diésel,2019,23173,150,5,Automático,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-20tdi-cr-s_s-fr-dsg7-150-en-granada.htm?id=6916465
MINI,Mini,20400,Gasolina,2019,24436,136,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-en-granada.htm?id=6910154
OPEL,Zafira,11770,Diésel,2011,47000,165,5,Manual,True,Barcelona,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira-tourer-20cdti-excellence-165-en-barcelona.htm?id=6904740
TOYOTA,CHr,27200,Híbrido,2021,3797,184,5,Automático,True,Unkown,https://www.coches.com/km0/seminuevo-toyota-c-hr-180h-gr-sport-en-granada.htm?id=6909958
FIAT,Tipo,11730,Gasolina,2019,58298,95,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-14-pop-en-granada.htm?id=6909932
AUDI,A1,16300,Diésel,2017,72266,90,3,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-14tdi-adrenalin-en-granada.htm?id=6908716
VOLKSWAGEN,Polo,12640,Gasolina,2018,69739,75,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-polo-10-edition-55kw-en-granada.htm?id=6908526
AUDI,Q2,27800,Diésel,2022,0,116,5,Manual,True,Huesca,https://www.coches.com/km0/seminuevo-audi-q2-30-tdi-advanced-85kw-en-huesca.htm?id=6908082
AUDI,Q2,27800,Diésel,2022,0,116,5,Manual,True,Huesca,https://www.coches.com/km0/seminuevo-audi-q2-30-tdi-advanced-85kw-en-huesca.htm?id=6908080
AUDI,Q2,29800,Diésel,2022,0,116,5,Automático,True,Huesca,https://www.coches.com/km0/seminuevo-audi-q2-30-tdi-advanced-s-tronic-85kw-en-huesca.htm?id=6908070
AUDI,Q3,43800,Diésel,2022,0,150,5,Automático,True,Huesca,https://www.coches.com/km0/seminuevo-audi-q3-35-tdi-black-line-s-tronic-110kw-en-huesca.htm?id=6908074
AUDI,A3,30800,Diésel,2022,0,116,5,Manual,True,Huesca,https://www.coches.com/km0/seminuevo-audi-a3-sportback-30tdi-s-line-en-huesca.htm?id=6908066
FORD,Transit,3300,Diésel,2001,338000,75,4,Manual,True,Granada,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-260s-van-en-granada.htm?id=6889622
AUDI,A3,31800,Diésel,2022,0,150,4,Manual,True,Huesca,https://www.coches.com/km0/seminuevo-audi-a3-sedan-35tdi-s-line-en-huesca.htm?id=6908064
HYUNDAI,Ioniq,17700,Híbrido,2018,75700,141,5,Automático,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ioniq-hev-16-gdi-klass-en-granada.htm?id=6904992
PEUGEOT,508,15400,Diésel,2017,62929,120,4,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-508-16bluehdi-active-120-en-granada.htm?id=6904970
AUDI,A3,35000,Gasolina,2016,99000,367,5,Automático,True,Alicante,https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-rs3-sportback-25-tfsi-quattro-s-tronic-en-alicante.htm?id=6902608
LAND ROVER,Range,43900,Diésel,2014,95000,306,5,Automático,True,Alicante,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+sport-30sdv6-hse-dynamic-306-aut-en-alicante.htm?id=6902588
VOLKSWAGEN,Caddy,15900,Diésel,2016,140000,150,4,Manual,True,Alicante,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-caddy-20tdi-comfortline-110kw-en-alicante.htm?id=6902516
HYUNDAI,I20,11900,Gasolina,2018,72000,100,5,Automático,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-14-mpi-link-aut-en-madrid.htm?id=6898324
CITROEN,C4,8000,Diésel,2011,105000,112,5,Manual,True,Granada,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-picasso-16hdi-seduction-cmp-en-granada.htm?id=6891156
SUBARU,Wrx,27900,Gasolina,2012,140000,300,5,Manual,True,Alicante,https://www.coches.com/coches-segunda-mano/ocasion-subaru-wrx+sti-25-sport-en-alicante.htm?id=5414773
MERCEDES-BENZ,Citan,10900,Diésel,2016,120000,110,5,Manual,True,Alicante,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-citan+n1-citan-tourer-111cdi-be-pro-en-alicante.htm?id=5939389
SEAT,Arona,15910,Gasolina,2018,70387,95,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-style-95-en-granada.htm?id=6902358
RENAULT,Talisman,18100,Diésel,2017,47794,130,4,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-renault-talisman-16dci-energy-zen-96kw-en-granada.htm?id=6901064
CITROEN,Jumpy,18990,Diésel,2019,68000,122,4,Manual,True,Madrid,https://www.coches.com/coches-segunda-mano/ocasion-citroen-jumpy-fg-bluehdi-talla-m-club-120-en-madrid.htm?id=6900262
LAND ROVER,Discovery,52900,Diésel,2020,23490,240,5,Automático,True,Córdoba,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-20sd4-s-aut-en-cordoba.htm?id=6805150
JAGUAR,EPace,55900,Diésel,2022,0,163,5,Automático,True,Córdoba,https://www.coches.com/km0/seminuevo-jaguar-e-pace-20d-i4-se-awd-aut-163-en-cordoba.htm?id=6798858
LAND ROVER,Discovery,20000,Diésel,2017,169529,150,5,Manual,True,Córdoba,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery+sport-20ed4-pure-4x2-150-en-cordoba.htm?id=6831377
LAND ROVER,Range,69900,Diésel,2021,22467,204,5,Automático,True,Córdoba,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-i4-mhev-se-4wd-aut-204-en-cordoba.htm?id=6816629
LAND ROVER,Range,38900,Diésel,2021,13951,163,5,Manual,True,Córdoba,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+evoque-20d-i4-s-fwd-163-en-cordoba.htm?id=6862410
LAND ROVER,Range,65900,Diésel,2021,8000,180,5,Automático,True,Córdoba,https://www.coches.com/km0/seminuevo-land+rover-range+rover+velar-20d-r-dynamic-s-4wd-aut-180-en-cordoba.htm?id=6862408
JAGUAR,FPace,34400,Diésel,2017,84298,180,5,Automático,True,Córdoba,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-f-pace-20i4d-prestige-autrwd-180-en-cordoba.htm?id=6871710
JAGUAR,EPace,49900,Diésel,2021,14522,163,5,Automático,True,Córdoba,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-s-awd-aut-163-en-cordoba.htm?id=6866258
JAGUAR,FPace,44900,Diésel,2019,35000,180,5,Automático,True,Córdoba,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-f-pace-20i4d-r-sport-aut-awd-180-en-cordoba.htm?id=6862406
LAND ROVER,Range,81900,Híbrido,2021,13562,404,5,Automático,True,Córdoba,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20-i4-phev-se-4wd-aut-404-en-cordoba.htm?id=6890756
LAND ROVER,Discovery,29900,Diésel,2019,61977,150,5,Manual,True,Córdoba,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery+sport-20ed4-pure-4x2-150-en-cordoba.htm?id=6894168
JAGUAR,Xf,21900,Diésel,2017,147487,180,4,Automático,True,Córdoba,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xf-20i4d-prestige-aut-180-en-cordoba.htm?id=6885310
JAGUAR,EPace,42900,Diésel,2021,26882,150,5,Automático,True,Córdoba,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-e-pace-20d-i4-r-dynamic-s-awd-aut-150-en-cordoba.htm?id=6894166
LAND ROVER,Range,84900,Diésel,2021,14256,249,5,Automático,True,Córdoba,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+sport-30sdv6-hse-aut-249-en-cordoba.htm?id=6894164
JAGUAR,Xf,37900,Diésel,2020,30824,180,4,Automático,True,Córdoba,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xf-20i4d-prestige-aut-180-en-cordoba.htm?id=6897062
JAGUAR,FPace,65900,Diésel,2021,13530,163,5,Automático,True,Córdoba,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-f-pace-20d-l4-mhev-standard-se-aut-awd-163-en-cordoba.htm?id=6897592
LAND ROVER,Discovery,52900,Diésel,2020,23490,240,5,Automático,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-20sd4-s-aut-en-cadiz.htm?id=6805148
JAGUAR,EPace,55900,Diésel,2022,0,163,5,Automático,True,Cádiz,https://www.coches.com/km0/seminuevo-jaguar-e-pace-20d-i4-se-awd-aut-163-en-cadiz.htm?id=6798844
JAGUAR,FPace,35900,Diésel,2016,75737,180,5,Automático,True,Córdoba,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-f-pace-20i4d-portfolio-aut-awd-180-en-cordoba.htm?id=6897060
JAGUAR,Xe,41800,Diésel,2022,0,204,4,Automático,True,Cádiz,https://www.coches.com/km0/seminuevo-jaguar-xe-20i4d-mhev-r-dyn-s-awd-aut-204-en-cadiz.htm?id=6826009
LAND ROVER,Range,65900,Diésel,2021,8000,180,5,Automático,True,Cádiz,https://www.coches.com/km0/seminuevo-land+rover-range+rover+velar-20d-r-dynamic-s-4wd-aut-180-en-cadiz.htm?id=6862376
JAGUAR,FPace,65900,Diésel,2021,13530,163,5,Automático,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-f-pace-20d-l4-mhev-standard-se-aut-awd-163-en-cadiz.htm?id=6871704
LAND ROVER,Discovery,20000,Diésel,2017,169529,150,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery+sport-20ed4-pure-4x2-150-en-cadiz.htm?id=6831371
LAND ROVER,Range,69900,Diésel,2021,22467,204,5,Automático,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-i4-mhev-se-4wd-aut-204-en-cadiz.htm?id=6816621
LAND ROVER,Range,81900,Híbrido,2021,13562,404,5,Automático,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20-i4-phev-se-4wd-aut-404-en-cadiz.htm?id=6890746
JAGUAR,Xf,21900,Diésel,2017,147487,180,4,Automático,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xf-20i4d-prestige-aut-180-en-cadiz.htm?id=6885308
LAND ROVER,Range,84900,Diésel,2021,14256,249,5,Automático,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+sport-30sdv6-hse-aut-249-en-cadiz.htm?id=6894158
JAGUAR,FPace,34400,Diésel,2017,84298,180,5,Automático,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-f-pace-20i4d-prestige-autrwd-180-en-cadiz.htm?id=6871706
RENAULT,Kangoo,13017,Diésel,2017,135468,90,5,Manual,True,Sevilla,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-combi-15dci-extrem-m1-af-66kw-en-sevilla.htm?id=6900644
JEEP,Renegade,20290,Gasolina,2021,9495,120,5,Manual,True,Madrid,https://www.coches.com/km0/seminuevo-jeep-renegade-10-limited-4x2-en-madrid.htm?id=6897508
JAGUAR,Xf,37900,Diésel,2020,30824,180,4,Automático,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xf-20i4d-prestige-aut-180-en-cadiz.htm?id=6897056
LAND ROVER,Discovery,29900,Diésel,2019,61977,150,5,Manual,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery+sport-20ed4-pure-4x2-150-en-cadiz.htm?id=6894160
JAGUAR,FPace,35900,Diésel,2016,75737,180,5,Automático,True,Cádiz,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-f-pace-20i4d-portfolio-aut-awd-180-en-cadiz.htm?id=6897054
BMW,Serie 5,25400,Gasolina,2015,57548,306,4,Automático,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-535i-luxury-en-granada.htm?id=6897320
BMW,Serie 5,25432,Diésel,2017,129061,190,4,Automático,True,Valencia,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-en-valencia.htm?id=6892116
OPEL,Corsa,14990,Diésel,2020,4683,102,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-opel-corsa-15d-dt-ss-gs-line-100-en-madrid.htm?id=6471411
OPEL,Corsa,14790,Diésel,2020,3045,102,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-opel-corsa-15d-dt-ss-gs-line-100-en-madrid.htm?id=6471409
